"ONT_Barcode"	"HW_address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"3"	"barcode_external01_internal01"	"[1,2,3,5]"	"[1,2,3,7]"	"[0,1,5,8]"	"[0,0,0,2]"	"[0,0,0,5]"	"[0,0,3,7]"	"[0,0,0,1]"	"[0,0,0,1]"
"3"	"barcode_external02_internal01"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,1,6]"	"[0,0,0,0]"
"3"	"barcode_external03_internal01"	"[0,0,3,8]"	"[0,0,0,2]"	"[0,1,5,6]"	"[0,2,4,6]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,5]"	"[0,0,0,2]"
"3"	"barcode_external04_internal01"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,0,7]"	"[0,0,0,1]"	"[0,0,0,1]"	"[0,0,1,4]"	"[0,0,0,0]"	"[0,0,0,0]"
"3"	"barcode_external05_internal01"	"[0,0,2,5]"	"[0,1,6,7]"	"[0,0,4,8]"	"[0,0,1,5]"	"[0,1,3,4]"	"[0,0,1,7]"	"[1,2,3,5]"	"[1,5,7,8]"
"3"	"barcode_external06_internal01"	"[0,0,1,5]"	"[0,0,1,4]"	"[0,0,3,5]"	"[0,0,2,6]"	"[0,0,0,3]"	"[0,0,0,4]"	"[0,2,5,7]"	"[0,0,1,6]"
"3"	"barcode_external07_internal01"	"[0,0,1,6]"	"[0,0,1,8]"	"[0,0,0,7]"	"[0,1,2,4]"	"[0,0,3,4]"	"[0,0,0,7]"	"[0,0,0,0]"	"[0,0,0,0]"
"3"	"barcode_external08_internal01"	"[0,0,0,5]"	"[0,0,0,4]"	"[0,0,1,8]"	"[0,0,1,4]"	"[0,0,1,3]"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,0]"
"3"	"barcode_external01_internal02"	"[0,0,0,4]"	"[0,0,2,8]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,0,0,3]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,4]"
"3"	"barcode_external02_internal02"	"[0,3,4,7]"	"[0,0,4,5]"	"[0,5,7,8]"	"[0,1,4,5]"	"[0,2,3,7]"	"[0,0,0,1]"	"[0,1,3,5]"	"[0,0,0,2]"
"3"	"barcode_external03_internal02"	"[0,0,5,7]"	"[0,0,4,8]"	"[0,0,0,3]"	"[0,0,0,3]"	"[0,1,4,8]"	"[0,0,0,5]"	"[0,0,5,8]"	"[0,0,0,2]"
"3"	"barcode_external04_internal02"	"[0,0,0,5]"	"[0,0,0,4]"	"[0,0,6,7]"	"[0,0,4,7]"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,6]"
